"date_onset","detection_probability","state","count"
2020-01-13,1,"ACT",0
2020-01-13,1,"NSW",0
2020-01-13,1,"NT",0
2020-01-13,1,"QLD",0
2020-01-13,1,"SA",0
2020-01-13,1,"TAS",0
2020-01-13,1,"VIC",0
2020-01-13,1,"WA",0
2020-01-14,1,"ACT",0
2020-01-14,1,"NSW",0
2020-01-14,1,"NT",0
2020-01-14,1,"QLD",0
2020-01-14,1,"SA",0
2020-01-14,1,"TAS",0
2020-01-14,1,"VIC",0
2020-01-14,1,"WA",0
2020-01-15,1,"ACT",0
2020-01-15,1,"NSW",0
2020-01-15,1,"NT",0
2020-01-15,1,"QLD",0
2020-01-15,1,"SA",0
2020-01-15,1,"TAS",0
2020-01-15,1,"VIC",0
2020-01-15,1,"WA",0
2020-01-16,1,"ACT",0
2020-01-16,1,"NSW",0
2020-01-16,1,"NT",0
2020-01-16,1,"QLD",0
2020-01-16,1,"SA",0
2020-01-16,1,"TAS",0
2020-01-16,1,"VIC",0
2020-01-16,1,"WA",0
2020-01-17,1,"ACT",0
2020-01-17,1,"NSW",0
2020-01-17,1,"NT",0
2020-01-17,1,"QLD",0
2020-01-17,1,"SA",0
2020-01-17,1,"TAS",0
2020-01-17,1,"VIC",0
2020-01-17,1,"WA",0
2020-01-18,1,"ACT",0
2020-01-18,1,"NSW",0
2020-01-18,1,"NT",0
2020-01-18,1,"QLD",0
2020-01-18,1,"SA",0
2020-01-18,1,"TAS",0
2020-01-18,1,"VIC",0
2020-01-18,1,"WA",0
2020-01-19,1,"ACT",0
2020-01-19,1,"NSW",0
2020-01-19,1,"NT",0
2020-01-19,1,"QLD",0
2020-01-19,1,"SA",0
2020-01-19,1,"TAS",0
2020-01-19,1,"VIC",0
2020-01-19,1,"WA",0
2020-01-20,1,"ACT",0
2020-01-20,1,"NSW",0
2020-01-20,1,"NT",0
2020-01-20,1,"QLD",0
2020-01-20,1,"SA",0
2020-01-20,1,"TAS",0
2020-01-20,1,"VIC",0
2020-01-20,1,"WA",0
2020-01-21,1,"ACT",0
2020-01-21,1,"NSW",0
2020-01-21,1,"NT",0
2020-01-21,1,"QLD",0
2020-01-21,1,"SA",0
2020-01-21,1,"TAS",0
2020-01-21,1,"VIC",0
2020-01-21,1,"WA",0
2020-01-22,1,"ACT",0
2020-01-22,1,"NSW",0
2020-01-22,1,"NT",0
